agent,task_id,kind,n_events,mean_dt,std_dt,var_dt
1,1,suppress,9085,1.1005858628565657,1.1036688502145748,1.2180849309339619
1,1,train,3,0.9254096361929537,0.3111218426767513,0.09679680099057718
1,2,suppress,11110,0.9000514679283562,0.9115408725031277,0.8309067622437633
2,1,suppress,15087,0.6628648998302208,0.6482195837996066,0.4201886288213353
2,2,suppress,11438,0.8743273821580628,0.8780961663225005,0.7710528773102726
