time,bee1_id,bee2_id,task_id,task_1,task_2,task_3,task_4,task_5
0.0,1,0,0,0.1133,0.1028,0.10352642901044867,0.0875,0.0
0.0,2,0,0,0.0905,0.0996,0.07755838967424708,0.0874,0.2093331858896384
0.0,3,0,0,0.1307,0.0907,0.07671327596803934,0.1001,0.004091562534557116
0.0,4,0,0,0.0933,0.0992,0.08124615857406269,0.0735,0.02233771978325777
0.0,5,0,0,0.0761,0.0975,0.0830900430239705,0.0899,0.19141877695455048
1.1023455031343676,2,2,1,0.0904,0.0998,0.0773279041180086,0.0198,0.6295477164657747
1.8962250228019017,4,4,3,0.0554,0.0968,0.1316840811309158,0.0874,0.09565409709167312
3.442702602781625,4,5,2,0.0554,0.0968,0.1316840811309158,0.0874,0.09565409709167312
3.617968833995441,4,4,4,0.0982,0.1216,0.06726336816226183,0.0863,0.05418555789008073
6.01514454057471,4,4,3,0.0573,0.0952,0.13348955132145052,0.0949,0.1113568506026761
7.819898850452848,5,5,5,0.101,0.1,0.1107098955132145,0.1,0.006303217958642043
8.070007608090794,2,2,2,0.1132,0.1106,0.10652274124154887,0.0835,0.563750967599248
8.447671882677058,1,1,4,0.109,0.0758,0.06833896742470805,0.0938,0.0
8.749475512302348,1,1,5,0.1009,0.1,0.06127074370006146,0.1,0.07375870839323233
9.506932471466541,4,4,4,0.0902,0.1245,0.06634142593730794,0.1134,0.06026761030631428
10.072928496156575,5,5,2,0.1041,0.1002,0.11067148125384142,0.1,0.0
10.582437143363844,1,1,1,0.1202,0.0967,0.15676859250153657,0.101,0.0017693243392679422
10.860081817239177,2,2,1,0.0974,0.0982,0.07702059004302397,0.0216,0.6968926241291606
10.947035584159345,3,3,1,0.161,0.0971,0.07433159188690842,0.1475,0.0024328209664934205
11.03534585679939,5,5,4,0.0994,0.0912,0.11750921942224954,0.1049,0.15205131040583877
11.109390971396259,5,5,4,0.0979,0.1056,0.09469114935464044,0.116,0.21397766228021675
11.11812636107508,1,1,2,0.1437,0.0997,0.10878918254456055,0.1377,0.0
12.909734406295193,4,4,4,0.0916,0.1241,0.06668715427166565,0.1546,0.03571823509897158
17.081908346210962,2,2,1,0.1146,0.0989,0.07728948985863553,0.0224,0.6922481477385823
17.930526150833423,5,2,5,0.0979,0.1056,0.09469114935464044,0.116,0.21397766228021675
22.39971840264395,3,3,3,0.1614,0.0928,0.1431699446834665,0.1106,0.013933429171735044
25.344215898958737,4,4,3,0.0636,0.0924,0.13898279041180087,0.1249,0.0870286409377419
25.71457600699715,3,3,1,0.1699,0.0949,0.07652120467117395,0.1458,0.002101072652880681
25.998908297765855,4,4,3,0.068,0.0921,0.14731868469575907,0.1204,0.09521176600685613
27.53976232036415,5,5,4,0.0994,0.1027,0.09392286416717886,0.1302,0.2004865641932987
28.25649563696438,5,2,5,0.0994,0.1027,0.09392286416717886,0.1302,0.2004865641932987
28.283315245652737,1,1,5,0.1009,0.1,0.06127074370006146,0.1,0.07475395333407055
28.512772547001685,5,5,4,0.1001,0.1064,0.0962661339889367,0.1566,0.23410372663938958
29.2787899033075,2,2,5,0.0982,0.1,0.09691917639827904,0.1,0.015592170739798739
29.330199090968993,5,5,1,0.0789,0.0997,0.10917332513829134,0.1824,0.14773858232887316
29.478064020298728,2,2,3,0.0982,0.1189,0.09357713583282114,0.0995,0.05418555789008073
30.76235336396595,1,1,2,0.1039,0.1066,0.15173632452366317,0.0997,0.0011058277120424638
32.73717712689559,3,4,2,0.1699,0.0949,0.07652120467117395,0.1458,0.002101072652880681
