time,bee1_id,bee2_id,task_id,task_1,task_2
0.4845142354223596,1,1,2,0.0843,0.19057314074984635
2.16748835412826,2,2,2,0.0944,0.19560540872771973
2.4647801885777016,1,1,1,0.1803,0.08712354025814383
3.044053694060587,2,2,2,0.0973,0.20351874615857407
3.574185832921631,2,2,1,0.1914,0.1040642286416718
4.27639410626945,2,2,2,0.1339,0.18799938537185004
4.337949100483864,1,1,1,0.2119,0.10832821143208358
5.446669092550723,2,2,2,0.1167,0.19403042409342347
6.381391597462663,2,1,1,0.1167,0.19403042409342347
6.573204705229666,2,2,2,0.1317,0.1917639827904118
6.709776204946431,2,1,1,0.1317,0.1917639827904118
6.8225460788335415,2,2,2,0.1144,0.19645052243392747
6.996433729850168,1,1,2,0.1423,0.18446527350952674
10.936336689844946,2,1,1,0.1144,0.19645052243392747
11.337764807009892,1,1,2,0.1308,0.19456822372464658
11.419056557384932,1,1,1,0.2313,0.08036263060848187
12.513207394266722,1,1,1,0.2583,0.07832667486170866
12.689345495642991,1,1,2,0.1574,0.18930547019053473
12.974164803365182,2,2,2,0.1122,0.19871696373693915
15.139581544565646,2,2,2,0.1063,0.19779502151198525
16.231742733551773,1,1,2,0.1487,0.19145666871542716
16.325536108235877,2,2,2,0.1224,0.21485095267363244
17.349816501760824,1,1,2,0.1776,0.19076521204671174
18.66419624406001,1,1,2,0.1548,0.20002304855562386
21.162942084227417,1,1,1,0.2541,0.08070835894283958
23.725933835800504,2,2,2,0.1139,0.21227719729563613
24.705398630031112,1,1,2,0.1771,0.2006760909649662
27.097577052543105,1,1,1,0.2725,0.08574062692071296
29.822998067253074,1,1,1,0.2872,0.08028580208973571
30.76051866613526,1,1,2,0.2199,0.19337738168408114
30.850149315747675,2,2,1,0.2256,0.09822526121696373
31.90435309702086,1,1,2,0.2091,0.1997541487400123
32.324588433987806,2,2,1,0.2558,0.12634449907805778
32.347593185972826,1,1,2,0.1823,0.20317301782421635
32.385507103674996,1,1,2,0.1824,0.20559311616472034
34.68861781843908,1,1,1,0.3004,0.10798248309772587
34.82321712018573,1,1,1,0.3077,0.09461432083589429
35.52947232605132,1,1,2,0.236,0.19783343577135834
37.56342193833918,1,1,2,0.2109,0.20985709895513213
38.14354875242356,2,2,2,0.1648,0.21131684081130916
39.26660388356545,1,1,1,0.3144,0.10003073140749846
40.32540374631921,2,2,2,0.1427,0.20390288875230486
40.509364779212554,1,1,2,0.2093,0.20002304855562386
41.4545385448094,2,2,1,0.2683,0.11428242163491088
41.52389854088966,1,1,1,0.3163,0.10175937307928704
42.002273273508635,1,1,2,0.2339,0.20613091579594345
43.810663659042646,1,1,2,0.2281,0.21911493546404426
45.10180710520675,1,2,1,0.2281,0.21911493546404426
46.152322817414706,1,2,1,0.2281,0.21911493546404426
46.46205332332717,2,2,2,0.1808,0.21316072526121696
49.51025478126352,2,2,1,0.2887,0.13544867854947756
50.25508087289961,1,1,2,0.2104,0.213660110633067
50.32549630591944,2,1,2,0.2887,0.13544867854947756
51.674648366725236,2,2,1,0.3029,0.12150430239704979
51.88517031682915,2,1,2,0.3029,0.12150430239704979
52.597654310643364,1,1,2,0.223,0.22579901659496004
55.86563221166504,2,2,1,0.3062,0.12895666871542716
56.0841586457154,1,2,1,0.223,0.22579901659496004
56.497910417721116,2,2,1,0.3199,0.11612630608481868
59.18028618168357,1,2,1,0.223,0.22579901659496004
59.597199975344544,1,2,1,0.223,0.22579901659496004
60.127470596922585,1,1,2,0.1872,0.22987092808850645
61.3750964962044,1,2,1,0.1872,0.22987092808850645
62.32154680340756,2,2,1,0.3283,0.10898125384142594
64.58771087569407,1,2,1,0.1872,0.22987092808850645
66.11413251293888,2,2,2,0.255,0.186040258143823
67.12861343999745,2,2,2,0.2317,0.19986939151813152
67.81756453239483,1,2,1,0.1872,0.22987092808850645
68.32573909377217,2,2,1,0.3221,0.11297633681622618
70.19064658886248,2,2,2,0.258,0.19833282114320835
73.42858240175006,2,1,2,0.258,0.19833282114320835
75.51679417133933,1,2,1,0.1872,0.22987092808850645
75.6633203441115,1,1,2,0.1981,0.23040872771972956
77.47867618678683,2,2,1,0.3272,0.11458973570989552
77.89594352088815,1,2,1,0.1981,0.23040872771972956
78.8080937365421,1,1,2,0.2165,0.23805316533497234
78.90631044274828,1,1,2,0.206,0.24339274738783037
80.29037147397975,2,2,1,0.3303,0.12004456054087277
83.64014971657592,2,1,2,0.3303,0.12004456054087277
83.88126456301805,1,1,2,0.2013,0.2594499078057775
84.3391033286509,2,2,1,0.3357,0.1031038721573448
84.98974955334506,1,2,1,0.2013,0.2594499078057775
86.71415700267654,1,1,2,0.1919,0.25253534111862325
87.19030012005673,1,2,1,0.1919,0.25253534111862325
88.06678495881336,2,2,1,0.3441,0.10652274124154887
90.92431167701073,2,2,1,0.3476,0.1040642286416718
91.59445110259423,1,2,1,0.1919,0.25253534111862325
91.97825257871784,2,2,1,0.3477,0.09684234787953289
92.66975500840896,1,2,1,0.1919,0.25253534111862325
93.01990919390363,2,2,2,0.2951,0.18634757221880763
93.50313858096038,1,1,2,0.2003,0.2710125998770744
94.11069608606671,2,2,2,0.2679,0.2004840196681008
95.05884458975652,2,2,1,0.348,0.1031038721573448
96.34726200896118,2,2,1,0.3488,0.11021051014136447
96.71829209298812,1,1,2,0.1861,0.2646358328211432
96.78186514359064,2,2,1,0.3495,0.0920021511985249
96.97248897523444,1,1,2,0.1697,0.2612553779963122
97.52414533644439,2,2,1,0.3524,0.09853257529194837
98.16668821525191,1,1,2,0.1646,0.2616779348494161
98.34344073187226,2,1,2,0.3524,0.09853257529194837
99.69807295657212,1,1,2,0.1856,0.31104025814382297
100.12190471272997,1,2,1,0.1856,0.31104025814382297
101.23888776258218,2,1,2,0.3524,0.09853257529194837
101.3697378201576,2,2,1,0.3569,0.10364167178856791
101.71980222812758,2,2,1,0.3567,0.09665027658266749
103.05859771385796,2,2,1,0.3603,0.09907037492317149
105.91532961659391,2,2,1,0.3636,0.09519053472649047
106.01749437991663,1,1,2,0.1753,0.3153426551936079
108.30431205362038,1,1,2,0.1446,0.2948294406883835
108.99440652146048,1,2,1,0.1446,0.2948294406883835
109.20213007826338,1,2,1,0.1446,0.2948294406883835
109.52580098082841,1,2,1,0.1446,0.2948294406883835
109.72362432301655,2,2,1,0.3643,0.0897741241548863
111.21319411677317,2,2,1,0.3707,0.09926244622003688
113.27533767828723,2,2,2,0.3069,0.1741318377381684
114.60555320569514,2,2,2,0.2819,0.20021511985248924
117.7605819993104,2,2,1,0.3688,0.1021819299323909
118.31294638707685,2,2,1,0.3683,0.10544714197910264
118.3805452346463,2,2,1,0.3702,0.10813614013521819
118.83427456358802,1,1,2,0.1529,0.32079748002458514
119.22198450933655,2,2,1,0.3735,0.10160571604179472
119.23361651403145,2,2,2,0.3181,0.18331284572833437
119.50639962423533,1,1,2,0.145,0.278080823601721
119.9606622909349,2,2,1,0.3758,0.09634296250768286
120.57693701479086,2,1,2,0.3758,0.09634296250768286
120.65777369327357,1,1,2,0.1532,0.316840811309158
122.21591134534994,1,1,2,0.1364,0.34196373693915183
122.79142753982714,2,2,1,0.3729,0.09638137676705594
123.81157369104432,1,1,1,0.2742,0.19260909649661956
124.09389440454045,1,1,2,0.19,0.3239858635525507
124.21975975975951,2,2,1,0.3767,0.09956976029502151
125.77740444876238,1,1,2,0.1976,0.3425015365703749
126.46305329556377,2,2,1,0.3788,0.10537031346035648
126.68947877424779,1,1,1,0.2948,0.19330055316533498
126.78820250887198,1,1,1,0.3078,0.17178856791641056
127.08903295732175,1,1,1,0.324,0.1678703134603565
127.55227522929904,1,2,1,0.324,0.1678703134603565
127.87435519653928,1,1,2,0.2468,0.30447141979102643
128.98797663645837,1,1,2,0.2276,0.322679778733866
130.8347130843287,2,2,1,0.3802,0.09572833435771358
131.05278139992686,1,2,1,0.2276,0.322679778733866
131.355207884947,2,2,1,0.3848,0.09649661954517517
133.3686275946429,2,2,2,0.3288,0.17920251997541486
134.81303324645788,2,2,2,0.2967,0.2077443146896128
136.23724639590685,2,2,1,0.3825,0.10321911493546404
137.86581743072773,2,1,2,0.3825,0.10321911493546404
139.37885332426876,1,1,2,0.2348,0.34204056545789796
139.42950351346525,1,1,2,0.2268,0.3605178242163491
139.459893788579,1,1,2,0.2149,0.3615934234787953
139.72376674545148,2,1,2,0.3825,0.10321911493546404
140.30457722064534,1,1,2,0.2152,0.35963429625076826
140.4631401714001,2,2,1,0.3843,0.10786724031960664
142.17166703518015,1,1,2,0.2126,0.3708896742470805
142.8735102653265,1,1,2,0.2002,0.3802243392747388
143.66355990930566,1,1,2,0.1798,0.35602335586969885
144.4740893869945,2,2,1,0.3814,0.1168561770129072
146.25981343374465,2,2,1,0.3856,0.10836662569145666
146.85302524375427,1,2,1,0.1798,0.35602335586969885
146.9429084284791,2,2,1,0.3911,0.09891671788567917
148.04694458242867,2,2,1,0.386,0.10494775660725261
148.75306391819055,1,1,2,0.1958,0.39305470190534725
149.15327111733225,2,1,2,0.386,0.10494775660725261
149.43759831623726,1,1,2,0.1737,0.40127535341118625
152.04692301824124,1,1,2,0.1806,0.39063460356484325
152.14728314670955,2,1,2,0.386,0.10494775660725261
152.4678821614147,1,2,1,0.1806,0.39063460356484325
152.52127775436136,1,1,2,0.1734,0.3998540258143823
153.49493611718762,2,2,1,0.3903,0.11397510755992625
154.20206193704448,2,2,1,0.3919,0.1003380454824831
156.35792064342246,1,2,1,0.1734,0.3998540258143823
157.1856874255088,1,1,2,0.1709,0.40354179471419793
157.73520642197062,1,2,1,0.1709,0.40354179471419793
161.2519287175138,2,2,1,0.3927,0.10010755992624462
161.80629778185155,2,2,1,0.3896,0.11117086662569145
162.16871788462893,1,2,1,0.1709,0.40354179471419793
163.09254603091836,1,1,2,0.154,0.382260295021512
164.14658279182197,1,2,1,0.154,0.382260295021512
164.93287315950974,2,1,2,0.3896,0.11117086662569145
165.55643873132502,1,2,1,0.154,0.382260295021512
166.39900316967652,2,1,2,0.3896,0.11117086662569145
166.69055964215093,1,1,2,0.1546,0.3944376152427781
167.19802590632023,1,1,2,0.1438,0.401659496004917
167.59319121176333,2,2,1,0.3922,0.09257836508912108
168.2714615294894,2,1,2,0.3922,0.09257836508912108
168.28980833597095,1,1,2,0.1398,0.4169099569760295
169.8686956661419,1,1,2,0.1337,0.41295328826060235
173.53666713891263,2,2,1,0.3983,0.09849416103257529
173.8642042613565,1,1,2,0.1405,0.4243623232944069
174.41405994805288,2,2,1,0.3966,0.09891671788567917
174.702561638894,2,1,2,0.3966,0.09891671788567917
175.0429067166782,1,1,2,0.1333,0.39777965580823604
175.36646779371299,2,2,1,0.3981,0.10452519975414874
175.98873629452893,1,1,1,0.2762,0.2832283343577136
176.40922424377754,1,1,1,0.3008,0.22764290104486787
177.9478714962156,2,2,1,0.3958,0.10583128457283343
178.69364416006505,1,1,1,0.3179,0.22068992009834051
182.14460605771833,1,1,1,0.3264,0.21888444990780578
182.41741658416993,2,2,1,0.3999,0.09822526121696373
185.11309054621856,1,2,1,0.3264,0.21888444990780578
185.7968042582565,1,1,2,0.2516,0.4091502765826675
186.3600633272078,2,2,2,0.3344,0.1919560540872772
188.00418419576502,2,1,2,0.3344,0.1919560540872772
188.91848755907756,2,1,2,0.3344,0.1919560540872772
189.12471479279606,2,2,1,0.3987,0.10563921327596804
189.56334754188478,1,1,2,0.2468,0.4261677934849416
189.63137452602686,2,2,1,0.396,0.107559926244622
190.51159023917856,1,1,2,0.2306,0.4260141364474493
193.39241900326215,1,2,1,0.2306,0.4260141364474493
193.49863873122334,1,2,1,0.2306,0.4260141364474493
194.44576574574165,2,2,1,0.4043,0.09768746158574063
194.92599335643044,2,2,1,0.3981,0.1025660725261217
195.15620047264844,1,2,1,0.2306,0.4260141364474493
195.96769036669247,1,2,1,0.2306,0.4260141364474493
197.3452905613504,1,2,1,0.2306,0.4260141364474493
197.4972605710445,1,1,2,0.2151,0.4402658266748617
197.53740662450835,2,2,1,0.4038,0.09853257529194837
198.40095533295835,1,1,2,0.2021,0.4188306699446835
198.98506739600776,2,2,2,0.3334,0.18961278426551936
199.15581291856606,2,2,1,0.4062,0.09907037492317149
199.9343186392686,2,2,2,0.3352,0.19625845113706208
200.4990642153044,2,2,2,0.3116,0.2156576521204671
202.49520409964333,2,1,2,0.3116,0.2156576521204671
203.23492944922876,2,1,2,0.3116,0.2156576521204671
204.0632120977979,1,1,2,0.1955,0.41944529809465275
204.6214427674716,2,2,1,0.4046,0.10779041180086048
206.19377357962063,2,1,2,0.4046,0.10779041180086048
206.84547805056638,1,1,2,0.2074,0.4569760295021512
207.29621407782776,1,1,2,0.184,0.45371081745543945
207.6999118112018,1,1,2,0.183,0.4382682851874616
207.72944479910626,1,1,2,0.1805,0.4739935464044253
215.49427815087105,1,1,1,0.2965,0.2986708666256915
217.86969317701508,1,1,2,0.2169,0.4523279041180086
219.92871456323357,1,1,1,0.3048,0.3080055316533497
221.8082667313775,1,1,2,0.2442,0.4521742470805163
222.2031570165176,2,2,1,0.4037,0.10667639827904118
222.3479598988032,1,1,2,0.2282,0.4610863552550707
222.57187519990893,2,2,1,0.4044,0.11562692071296865
223.2598636554665,2,2,1,0.4004,0.10706054087277198
224.04409967739636,1,2,1,0.2282,0.4610863552550707
224.69036731135535,1,2,1,0.2282,0.4610863552550707
226.60710419322976,2,2,2,0.3291,0.20440227412415488
227.00352954138285,1,1,2,0.2216,0.45663030116779346
227.09445632474032,1,1,2,0.2096,0.46097111247695144
227.13726986651656,2,2,2,0.31,0.22153503380454825
230.196408629565,1,2,1,0.2096,0.46097111247695144
231.68682202008225,2,2,1,0.406,0.12718961278426552
232.08746484515382,2,2,2,0.3406,0.2257221880762139
232.70076348093778,1,1,2,0.2047,0.4886677934849416
233.13702795904285,1,2,1,0.2047,0.4886677934849416
235.36713814819677,2,2,1,0.4112,0.11804701905347265
236.26156122555568,2,2,2,0.3168,0.22487707437000615
238.65055058825828,1,2,1,0.2047,0.4886677934849416
240.20695535913768,2,1,2,0.3168,0.22487707437000615
241.1747712555669,2,2,1,0.4095,0.11931468961278427
241.792788533479,1,1,2,0.202,0.4816763982790412
242.06151436581908,2,2,1,0.4131,0.11862323294406883
242.13028751542495,1,1,2,0.1874,0.47618315918869086
244.65283444206827,2,2,1,0.407,0.10890442532267978
245.98300573605047,2,2,1,0.4113,0.11362937922556852
247.57838004220147,2,1,2,0.4113,0.11362937922556852
247.93625772501355,2,2,1,0.4093,0.11735556238475722
247.9630713405983,2,2,1,0.4065,0.11270743700061463
247.9733486384482,2,2,1,0.4124,0.11658727719729564
248.38111155667343,2,2,1,0.414,0.11797019053472649
249.64666226609376,2,1,2,0.414,0.11797019053472649
