epoch,bee_id,task_id,accuracies
0,1,1,0.1339
0,1,2,0.101
0,1,3,0.1600338045482483
0,1,4,0.0793
0,1,5,0.0
0,2,1,0.1274
0,2,2,0.0978
0,2,3,0.09058082360172096
0,2,4,0.1822
0,2,5,0.026982196173836116
0,3,1,0.1226
0,3,2,0.0652
0,3,3,0.08727719729563614
0,3,4,0.086
0,3,5,0.004644476390578348
0,4,1,0.137
0,4,2,0.1212
0,4,3,0.12004456054087277
0,4,4,0.1336
0,4,5,0.009841866637177928
0,5,1,0.1284
0,5,2,0.0979
0,5,3,0.10836662569145666
0,5,4,0.1094
0,5,5,0.07397987393564083
1,1,1,0.1339
1,1,2,0.101
1,1,3,0.1600338045482483
1,1,4,0.0793
1,1,5,0.0
1,2,1,0.1274
1,2,2,0.0978
1,2,3,0.09058082360172096
1,2,4,0.1822
1,2,5,0.026982196173836116
1,3,1,0.0969
1,3,2,0.0568
1,3,3,0.08063153042409342
1,3,4,0.0439
1,3,5,0.011500608205241623
1,4,1,0.1439
1,4,2,0.112
1,4,3,0.11355255070682237
1,4,4,0.1277
1,4,5,0.012164104832467102
1,5,1,0.1284
1,5,2,0.0979
1,5,3,0.10836662569145666
1,5,4,0.1094
1,5,5,0.07397987393564083
2,1,1,0.1339
2,1,2,0.101
2,1,3,0.1600338045482483
2,1,4,0.0793
2,1,5,0.0
2,2,1,0.1274
2,2,2,0.0978
2,2,3,0.09058082360172096
2,2,4,0.1822
2,2,5,0.026982196173836116
2,3,1,0.0969
2,3,2,0.0568
2,3,3,0.08063153042409342
2,3,4,0.0439
2,3,5,0.011500608205241623
2,4,1,0.1439
2,4,2,0.112
2,4,3,0.11355255070682237
2,4,4,0.1277
2,4,5,0.012164104832467102
2,5,1,0.1284
2,5,2,0.0979
2,5,3,0.10836662569145666
2,5,4,0.1094
2,5,5,0.07397987393564083
3,1,1,0.1339
3,1,2,0.101
3,1,3,0.1600338045482483
3,1,4,0.0793
3,1,5,0.0
3,2,1,0.1274
3,2,2,0.0978
3,2,3,0.09058082360172096
3,2,4,0.1822
3,2,5,0.026982196173836116
3,3,1,0.1074
3,3,2,0.0565
3,3,3,0.06822372464658881
