time,bee1_id,bee2_id,task_id,task_1,task_2,task_3,task_4,task_5
0.0,1,0,0,0.0427,0.1045,0.12323294406883835,0.042,0.012385270374875594
0.0,2,0,0,0.089,0.0907,0.0790181315304241,0.1071,0.05717129271259538
0.0,3,0,0,0.0959,0.0851,0.09257836508912108,0.1063,0.002543403737697667
0.0,4,0,0,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
0.0,5,0,0,0.0988,0.1199,0.15511677934849416,0.0787,0.0
0.32407877307815447,4,3,1,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
1.9527622163157625,2,3,1,0.089,0.0907,0.0790181315304241,0.1071,0.05717129271259538
2.330804175182482,2,1,2,0.089,0.0907,0.0790181315304241,0.1071,0.05717129271259538
4.0799448254945165,5,5,2,0.1133,0.2283,0.09307775046097111,0.0823,0.0
4.208337262980351,4,1,3,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
4.455606529435429,1,4,2,0.0427,0.1045,0.12323294406883835,0.042,0.012385270374875594
5.444459060422048,5,2,2,0.1133,0.2283,0.09307775046097111,0.0823,0.0
6.08405828449602,4,5,2,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
6.267781050334477,4,5,3,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
7.083073265735499,1,5,2,0.0427,0.1045,0.12323294406883835,0.042,0.012385270374875594
8.583049019271883,4,2,4,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
10.960606994039779,3,5,4,0.0959,0.0851,0.09257836508912108,0.1063,0.002543403737697667
14.215400641555274,3,1,1,0.0959,0.0851,0.09257836508912108,0.1063,0.002543403737697667
15.934288059151081,1,2,2,0.0427,0.1045,0.12323294406883835,0.042,0.012385270374875594
16.037812909348887,2,4,2,0.089,0.0907,0.0790181315304241,0.1071,0.05717129271259538
16.96025289004029,5,5,3,0.1319,0.1803,0.131299938537185,0.0689,0.0
17.790291063698206,1,1,5,0.098,0.1,0.06699446834665028,0.1,0.5205131040583877
18.334333892796312,4,1,5,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
20.487984208258997,4,2,4,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
21.055053214473578,2,4,1,0.089,0.0907,0.0790181315304241,0.1071,0.05717129271259538
21.64034247662527,2,1,1,0.089,0.0907,0.0790181315304241,0.1071,0.05717129271259538
23.387474455833804,4,5,2,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
23.672413072030707,1,1,3,0.0812,0.1225,0.17474646588813766,0.1845,0.005086807475395334
24.3428161982804,4,5,2,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
24.810717084637552,5,2,1,0.1319,0.1803,0.131299938537185,0.0689,0.0
25.31401839629886,4,1,3,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
28.577969529320423,2,2,5,0.098,0.1,0.06699446834665028,0.1,0.7056286630542962
30.283868425388224,2,4,1,0.098,0.1,0.06699446834665028,0.1,0.7056286630542962
30.837244304908918,1,3,1,0.0812,0.1225,0.17474646588813766,0.1845,0.005086807475395334
31.183815157824544,4,2,5,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
33.29446834414301,4,1,3,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
35.55993904736484,4,2,4,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
35.59570972503416,5,5,3,0.1099,0.1561,0.18888291333743085,0.0707,0.0
36.3323991166186,5,5,5,0.098,0.1,0.06699446834665028,0.1,0.43259980095101186
36.835198443661874,4,2,5,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
40.24803656192853,1,1,4,0.0882,0.1014,0.12530731407498463,0.6351,0.014818091341369015
42.77330925753296,3,1,4,0.0959,0.0851,0.09257836508912108,0.1063,0.002543403737697667
45.36051198334685,4,2,5,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
45.907700081694095,5,2,5,0.098,0.1,0.06699446834665028,0.1,0.43259980095101186
46.40835864252643,1,4,3,0.0882,0.1014,0.12530731407498463,0.6351,0.014818091341369015
47.860550807375084,1,5,1,0.0882,0.1014,0.12530731407498463,0.6351,0.014818091341369015
48.08776142161803,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.7056286630542962
50.36872257687492,3,2,4,0.0959,0.0851,0.09257836508912108,0.1063,0.002543403737697667
51.91043952755288,2,1,4,0.098,0.1,0.06699446834665028,0.1,0.7056286630542962
52.11251890766976,4,3,3,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
53.57135078927161,5,1,4,0.098,0.1,0.06699446834665028,0.1,0.43259980095101186
54.26554235862873,5,2,5,0.098,0.1,0.06699446834665028,0.1,0.43259980095101186
54.80972056959816,1,4,1,0.0882,0.1014,0.12530731407498463,0.6351,0.014818091341369015
55.35756927781618,4,3,4,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
57.5017221640658,3,3,5,0.098,0.1,0.06699446834665028,0.1,0.2781156695786796
58.38928830728374,4,2,5,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
58.48784856674354,4,1,4,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
59.183014566960885,5,2,5,0.098,0.1,0.06699446834665028,0.1,0.43259980095101186
62.106456705022744,4,2,3,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
62.133056406643085,3,5,5,0.098,0.1,0.06699446834665028,0.1,0.2781156695786796
62.946340081777194,5,1,4,0.098,0.1,0.06699446834665028,0.1,0.43259980095101186
63.59874084832227,4,1,4,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
63.7446210191044,4,1,4,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
63.77601784628539,4,2,5,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
63.86966197309541,3,2,5,0.098,0.1,0.06699446834665028,0.1,0.2781156695786796
64.28729181596528,4,5,5,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
65.59588596963953,5,4,5,0.098,0.1,0.06699446834665028,0.1,0.43259980095101186
68.48317900400203,3,1,4,0.098,0.1,0.06699446834665028,0.1,0.2781156695786796
69.7565665670728,3,4,5,0.098,0.1,0.06699446834665028,0.1,0.2781156695786796
70.78427729754252,4,1,4,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
71.21611722012666,3,4,2,0.098,0.1,0.06699446834665028,0.1,0.2781156695786796
71.27855542365576,3,2,5,0.098,0.1,0.06699446834665028,0.1,0.2781156695786796
71.7666677908615,4,1,4,0.0682,0.109,0.1437461585740627,0.1212,0.2924914298352317
72.52652298842195,5,1,4,0.098,0.1,0.06699446834665028,0.1,0.43259980095101186
74.2775497598626,3,2,5,0.098,0.1,0.06699446834665028,0.1,0.2781156695786796
