epoch,time,bee1_id,bee2_id,task_id,production_count,suppression_count
0,1,3,3,3,2,0
0,1,5,3,1,0,1
0,1,5,5,3,1,0
1,2,4,5,4,0,1
2,3,5,2,2,0,1
4,5,1,1,2,1,0
4,5,5,5,5,1,0
5,6,2,1,2,0,1
6,7,1,2,3,0,1
6,7,3,2,2,0,1
6,7,4,2,2,0,1
7,8,2,4,4,0,1
8,9,3,2,1,0,1
9,10,1,2,3,0,1
9,10,2,5,2,0,1
10,11,4,3,3,0,1
11,12,3,3,3,1,0
11,12,4,2,1,0,1
12,13,2,3,1,0,1
13,14,2,2,5,1,0
13,14,3,3,5,1,0
17,18,4,4,5,1,0
18,19,1,1,2,1,0
19,20,1,2,3,0,1
19,20,4,2,3,0,1
20,21,2,2,5,1,0
23,24,2,3,5,0,1
23,24,4,3,2,0,1
24,25,2,4,4,0,1
24,25,5,3,1,0,1
27,28,2,5,2,0,1
27,28,3,3,3,1,0
27,28,3,4,1,0,1
30,31,4,4,5,1,0
32,33,5,3,5,0,1
32,33,5,5,4,1,0
34,35,3,3,4,1,0
34,35,4,4,5,1,0
35,36,1,3,1,0,1
35,36,4,1,1,0,1
35,36,4,2,1,0,1
36,37,1,4,1,0,1
37,38,4,3,5,0,1
39,40,5,5,3,1,0
40,41,4,5,2,0,1
41,42,4,5,3,0,1
41,42,5,3,5,0,1
42,43,3,1,1,0,1
43,44,2,1,4,0,1
43,44,3,1,2,0,1
43,44,5,3,5,0,1
44,45,5,5,3,1,0
47,48,1,1,4,1,0
49,50,1,1,5,1,0
49,50,5,3,2,0,1
50,51,2,1,4,0,1
50,51,5,2,3,0,1
51,52,1,1,2,1,0
52,53,5,1,4,0,1
52,53,5,4,5,0,1
54,55,1,2,1,0,1
54,55,5,4,5,0,1
56,57,1,1,2,1,0
57,58,5,4,3,0,1
60,61,5,3,5,0,1
62,63,1,3,2,0,1
62,63,2,1,3,0,1
62,63,4,3,5,0,1
63,64,3,5,2,0,1
63,64,4,3,5,0,1
64,65,3,5,4,0,1
64,65,5,3,5,0,1
65,66,5,3,5,0,1
70,71,3,5,2,0,1
70,71,4,2,1,0,1
70,71,5,3,5,0,1
72,73,1,1,4,1,0
72,73,2,1,2,0,1
74,75,2,4,1,0,1
74,75,4,3,5,0,2
74,75,5,3,5,0,1
75,76,2,3,2,0,1
77,78,4,3,5,0,1
77,78,5,3,5,0,1
79,80,4,3,4,0,1
80,81,5,4,4,0,1
81,82,5,3,5,0,1
82,83,4,2,3,0,1
83,84,2,5,1,0,1
83,84,4,3,3,0,1
84,85,5,3,5,0,1
85,86,4,2,3,0,1
86,87,3,5,4,0,1
87,88,5,3,5,0,1
89,90,3,1,4,0,1
90,91,2,5,4,0,1
90,91,5,3,5,0,1
91,92,3,3,5,1,0
91,92,4,1,2,0,1
92,93,2,1,4,0,1
93,94,3,1,1,0,1
93,94,5,4,5,0,1
94,95,1,4,2,0,1
95,96,3,2,4,0,1
95,96,4,3,5,0,1
97,98,4,5,3,0,1
