epoch,bee_id,task_id,accuracies
0,1,1,0.0979
0,1,2,0.0999
0,1,3,0.1593039336201598
0,1,4,0.1151
0,1,5,0.005529138560212319
0,2,1,0.1431
0,2,2,0.0929
0,2,3,0.10540872771972956
0,2,4,0.1066
0,2,5,0.08647572708172067
0,3,1,0.0802
0,3,2,0.1165
0,3,3,0.0743700061462815
0,3,4,0.0854
0,3,5,0.0
0,4,1,0.0938
0,4,2,0.1114
0,4,3,0.09741856177012907
0,4,4,0.1429
0,4,5,0.04168970474400088
0,5,1,0.1097
0,5,2,0.0993
0,5,3,0.13049323909035035
0,5,4,0.1291
0,5,5,0.04235320137122636
1,1,1,0.0979
1,1,2,0.0999
1,1,3,0.1593039336201598
1,1,4,0.1151
1,1,5,0.005529138560212319
1,2,1,0.1431
1,2,2,0.0929
1,2,3,0.10540872771972956
1,2,4,0.1066
1,2,5,0.08647572708172067
1,3,1,0.098
1,3,2,0.0949
1,3,3,0.0725261216963737
1,3,4,0.1
1,3,5,0.2489218179807586
1,4,1,0.0938
1,4,2,0.1114
1,4,3,0.09741856177012907
1,4,4,0.1429
1,4,5,0.04168970474400088
1,5,1,0.1097
1,5,2,0.0993
1,5,3,0.13049323909035035
1,5,4,0.1291
1,5,5,0.04235320137122636
2,1,1,0.0979
2,1,2,0.0999
2,1,3,0.1593039336201598
2,1,4,0.1151
2,1,5,0.005529138560212319
2,2,1,0.1431
2,2,2,0.0929
2,2,3,0.10540872771972956
2,2,4,0.1066
2,2,5,0.08647572708172067
2,3,1,0.098
2,3,2,0.0949
2,3,3,0.0725261216963737
2,3,4,0.1
2,3,5,0.2489218179807586
2,4,1,0.0938
2,4,2,0.1114
2,4,3,0.09741856177012907
2,4,4,0.1429
2,4,5,0.04168970474400088
2,5,1,0.1097
2,5,2,0.0993
2,5,3,0.13049323909035035
2,5,4,0.1291
2,5,5,0.04235320137122636
3,1,1,0.0979
3,1,2,0.0999
3,1,3,0.1593039336201598
3,1,4,0.1151
3,1,5,0.005529138560212319
3,2,1,0.1431
3,2,2,0.0929
3,2,3,0.10540872771972956
3,2,4,0.1066
3,2,5,0.08647572708172067
3,3,1,0.1185
3,3,2,0.1172
3,3,3,0.08347418561770129
3,3,4,0.0765
3,3,5,0.004533893619374101
3,4,1,0.0938
3,4,2,0.1114
3,4,3,0.09741856177012907
3,4,4,0.1429
3,4,5,0.04168970474400088
3,5,1,0.1097
3,5,2,0.0993
3,5,3,0.13049323909035035
3,5,4,0.1291
3,5,5,0.04235320137122636
4,1,1,0.0979
4,1,2,0.0999
4,1,3,0.1593039336201598
4,1,4,0.1151
4,1,5,0.005529138560212319
4,2,1,0.1431
4,2,2,0.0929
4,2,3,0.10540872771972956
4,2,4,0.1066
4,2,5,0.08647572708172067
4,3,1,0.1185
4,3,2,0.1172
4,3,3,0.08347418561770129
4,3,4,0.0765
4,3,5,0.004533893619374101
4,4,1,0.0938
4,4,2,0.1114
4,4,3,0.09741856177012907
4,4,4,0.1429
4,4,5,0.04168970474400088
4,5,1,0.1097
4,5,2,0.0993
4,5,3,0.13049323909035035
4,5,4,0.1291
4,5,5,0.04235320137122636
5,1,1,0.0979
5,1,2,0.0999
5,1,3,0.1593039336201598
5,1,4,0.1151
5,1,5,0.005529138560212319
5,2,1,0.1431
5,2,2,0.0929
5,2,3,0.10540872771972956
5,2,4,0.1066
5,2,5,0.08647572708172067
5,3,1,0.1185
5,3,2,0.1172
5,3,3,0.08347418561770129
5,3,4,0.0765
5,3,5,0.004533893619374101
5,4,1,0.0938
5,4,2,0.1114
5,4,3,0.09741856177012907
5,4,4,0.1429
5,4,5,0.04168970474400088
5,5,1,0.1097
5,5,2,0.0993
5,5,3,0.13049323909035035
5,5,4,0.1291
5,5,5,0.04235320137122636
6,1,1,0.0979
6,1,2,0.0999
6,1,3,0.1593039336201598
6,1,4,0.1151
6,1,5,0.005529138560212319
6,2,1,0.1431
6,2,2,0.0929
6,2,3,0.10540872771972956
6,2,4,0.1066
6,2,5,0.08647572708172067
6,3,1,0.1185
6,3,2,0.1172
6,3,3,0.08347418561770129
6,3,4,0.0765
6,3,5,0.004533893619374101
6,4,1,0.0938
6,4,2,0.1114
6,4,3,0.09741856177012907
6,4,4,0.1429
6,4,5,0.04168970474400088
6,5,1,0.1097
6,5,2,0.0993
6,5,3,0.13049323909035035
6,5,4,0.1291
6,5,5,0.04235320137122636
7,1,1,0.0979
7,1,2,0.0999
7,1,3,0.1593039336201598
7,1,4,0.1151
7,1,5,0.005529138560212319
7,2,1,0.0958
7,2,2,0.1
7,2,3,0.07594499078057775
7,2,4,0.1
7,2,5,0.024881123520955437
7,3,1,0.1813
7,3,2,0.1039
7,3,3,0.11923786109403811
7,3,4,0.3769
7,3,5,0.0
7,4,1,0.0938
7,4,2,0.1114
7,4,3,0.09741856177012907
7,4,4,0.1429
7,4,5,0.04168970474400088
7,5,1,0.1097
7,5,2,0.0993
7,5,3,0.13049323909035035
7,5,4,0.1291
7,5,5,0.04235320137122636
8,1,1,0.0979
8,1,2,0.0999
