epoch,bee_id,task_id,accuracies
0,1,1,0.1088
0,1,2,0.1027
0,1,3,0.06810848186846957
0,1,4,0.1069
0,1,5,0.4327103837222161
0,2,1,0.1397
0,2,2,0.1017
0,2,3,0.06461278426551936
0,2,4,0.0987
0,2,5,0.005307973017803826
0,3,1,0.1334
0,3,2,0.0996
0,3,3,0.06465119852489244
0,3,4,0.12
0,3,5,0.019351984960743116
0,4,1,0.0958
0,4,2,0.1
0,4,3,0.15941917639827904
0,4,4,0.0674
0,4,5,0.0
0,5,1,0.088
0,5,2,0.1015
0,5,3,0.0656499692685925
0,5,4,0.0966
0,5,5,0.011058277120424637
1,1,1,0.1088
1,1,2,0.1027
1,1,3,0.06810848186846957
1,1,4,0.1069
1,1,5,0.4327103837222161
1,2,1,0.1397
1,2,2,0.1017
1,2,3,0.06461278426551936
1,2,4,0.0987
1,2,5,0.005307973017803826
1,3,1,0.1334
1,3,2,0.0996
1,3,3,0.06465119852489244
1,3,4,0.12
1,3,5,0.019351984960743116
1,4,1,0.0853
1,4,2,0.0989
1,4,3,0.1572679778733866
1,4,4,0.1256
1,4,5,0.0
1,5,1,0.088
1,5,2,0.1015
1,5,3,0.0656499692685925
1,5,4,0.0966
1,5,5,0.011058277120424637
2,1,1,0.1088
2,1,2,0.1027
2,1,3,0.06810848186846957
2,1,4,0.1069
2,1,5,0.4327103837222161
2,2,1,0.1397
2,2,2,0.1017
2,2,3,0.06461278426551936
2,2,4,0.0987
2,2,5,0.005307973017803826
2,3,1,0.1334
2,3,2,0.0996
2,3,3,0.06465119852489244
2,3,4,0.12
2,3,5,0.019351984960743116
2,4,1,0.0853
2,4,2,0.0989
2,4,3,0.1572679778733866
2,4,4,0.1256
2,4,5,0.0
2,5,1,0.088
2,5,2,0.1015
2,5,3,0.0656499692685925
2,5,4,0.0966
2,5,5,0.011058277120424637
3,1,1,0.1088
3,1,2,0.1027
3,1,3,0.06810848186846957
3,1,4,0.1069
3,1,5,0.4327103837222161
3,2,1,0.1397
3,2,2,0.1017
3,2,3,0.06461278426551936
3,2,4,0.0987
3,2,5,0.005307973017803826
3,3,1,0.1334
3,3,2,0.0996
3,3,3,0.06465119852489244
3,3,4,0.12
3,3,5,0.019351984960743116
3,4,1,0.0853
3,4,2,0.0989
3,4,3,0.1572679778733866
3,4,4,0.1256
3,4,5,0.0
3,5,1,0.088
3,5,2,0.1015
3,5,3,0.0656499692685925
3,5,4,0.0966
3,5,5,0.011058277120424637
4,1,1,0.1088
4,1,2,0.1027
4,1,3,0.06810848186846957
4,1,4,0.1069
4,1,5,0.4327103837222161
4,2,1,0.1397
4,2,2,0.1017
4,2,3,0.06461278426551936
4,2,4,0.0987
4,2,5,0.005307973017803826
4,3,1,0.1334
4,3,2,0.0996
4,3,3,0.06465119852489244
4,3,4,0.12
4,3,5,0.019351984960743116
4,4,1,0.0853
4,4,2,0.0989
4,4,3,0.1572679778733866
4,4,4,0.1256
4,4,5,0.0
4,5,1,0.088
4,5,2,0.1015
4,5,3,0.0656499692685925
4,5,4,0.0966
4,5,5,0.011058277120424637
5,1,1,0.1088
5,1,2,0.1027
5,1,3,0.06810848186846957
5,1,4,0.1069
5,1,5,0.4327103837222161
5,2,1,0.1575
5,2,2,0.1007
5,2,3,0.06634142593730794
5,2,4,0.0958
5,2,5,0.005307973017803826
5,3,1,0.1334
5,3,2,0.0996
5,3,3,0.06465119852489244
5,3,4,0.12
5,3,5,0.019351984960743116
5,4,1,0.0853
5,4,2,0.0989
5,4,3,0.1572679778733866
5,4,4,0.1256
5,4,5,0.0
5,5,1,0.088
5,5,2,0.1015
5,5,3,0.0656499692685925
5,5,4,0.0966
5,5,5,0.011058277120424637
6,1,1,0.1088
6,1,2,0.1027
6,1,3,0.06810848186846957
6,1,4,0.1069
6,1,5,0.4327103837222161
6,2,1,0.1575
6,2,2,0.1007
6,2,3,0.06634142593730794
6,2,4,0.0958
6,2,5,0.005307973017803826
6,3,1,0.0958
6,3,2,0.1
6,3,3,0.07594499078057775
6,3,4,0.1
6,3,5,0.006082052416233551
6,4,1,0.0853
6,4,2,0.0989
6,4,3,0.1572679778733866
6,4,4,0.1256
6,4,5,0.0
6,5,1,0.088
6,5,2,0.1015
6,5,3,0.0656499692685925
6,5,4,0.0966
6,5,5,0.011058277120424637
7,1,1,0.1088
7,1,2,0.1027
7,1,3,0.06810848186846957
7,1,4,0.1069
7,1,5,0.4327103837222161
7,2,1,0.1575
7,2,2,0.1007
7,2,3,0.06634142593730794
7,2,4,0.0958
7,2,5,0.005307973017803826
7,3,1,0.0958
7,3,2,0.1
7,3,3,0.07594499078057775
7,3,4,0.1
7,3,5,0.006082052416233551
7,4,1,0.0853
7,4,2,0.0989
7,4,3,0.1572679778733866
7,4,4,0.1256
7,4,5,0.0
7,5,1,0.088
7,5,2,0.1015
7,5,3,0.0656499692685925
7,5,4,0.0966
7,5,5,0.011058277120424637
8,1,1,0.1088
8,1,2,0.1027
8,1,3,0.06810848186846957
8,1,4,0.1069
8,1,5,0.4327103837222161
8,2,1,0.1575
8,2,2,0.1007
8,2,3,0.06634142593730794
8,2,4,0.0958
8,2,5,0.005307973017803826
8,3,1,0.0958
8,3,2,0.1
8,3,3,0.07594499078057775
8,3,4,0.1
8,3,5,0.006082052416233551
8,4,1,0.0876
8,4,2,0.1252
8,4,3,0.12065918869084204
8,4,4,0.1035
8,4,5,0.0
8,5,1,0.088
8,5,2,0.1015
8,5,3,0.0656499692685925
8,5,4,0.0966
8,5,5,0.011058277120424637
9,1,1,0.1088
9,1,2,0.1027
9,1,3,0.06810848186846957
9,1,4,0.1069
9,1,5,0.4327103837222161
9,2,1,0.1575
9,2,2,0.1007
9,2,3,0.06634142593730794
9,2,4,0.0958
9,2,5,0.005307973017803826
9,3,1,0.0958
9,3,2,0.1
9,3,3,0.07594499078057775
9,3,4,0.1
9,3,5,0.006082052416233551
9,4,1,0.0876
9,4,2,0.1252
9,4,3,0.12065918869084204
9,4,4,0.1035
9,4,5,0.0
9,5,1,0.088
9,5,2,0.1015
9,5,3,0.0656499692685925
9,5,4,0.0966
9,5,5,0.011058277120424637
10,1,1,0.1088
10,1,2,0.1027
10,1,3,0.06810848186846957
10,1,4,0.1069
10,1,5,0.4327103837222161
10,2,1,0.1575
10,2,2,0.1007
10,2,3,0.06634142593730794
10,2,4,0.0958
10,2,5,0.005307973017803826
10,3,1,0.0958
10,3,2,0.1
10,3,3,0.07594499078057775
10,3,4,0.1
10,3,5,0.006082052416233551
10,4,1,0.0876
10,4,2,0.1252
10,4,3,0.12065918869084204
10,4,4,0.1035
10,4,5,0.0
10,5,1,0.088
10,5,2,0.1015
10,5,3,0.0656499692685925
10,5,4,0.0966
10,5,5,0.011058277120424637
11,1,1,0.1088
11,1,2,0.1027
11,1,3,0.06810848186846957
11,1,4,0.1069
11,1,5,0.4327103837222161
11,2,1,0.1575
11,2,2,0.1007
11,2,3,0.06634142593730794
11,2,4,0.0958
11,2,5,0.005307973017803826
11,3,1,0.0958
11,3,2,0.1
11,3,3,0.07594499078057775
11,3,4,0.1
11,3,5,0.006082052416233551
11,4,1,0.0876
11,4,2,0.1252
11,4,3,0.12065918869084204
11,4,4,0.1035
11,4,5,0.0
11,5,1,0.088
11,5,2,0.1015
11,5,3,0.0656499692685925
11,5,4,0.0966
11,5,5,0.011058277120424637
12,1,1,0.1088
12,1,2,0.1027
12,1,3,0.06810848186846957
12,1,4,0.1069
12,1,5,0.4327103837222161
12,2,1,0.1575
12,2,2,0.1007
12,2,3,0.06634142593730794
12,2,4,0.0958
12,2,5,0.005307973017803826
12,3,1,0.0958
12,3,2,0.1
12,3,3,0.07594499078057775
12,3,4,0.1
12,3,5,0.006082052416233551
12,4,1,0.0876
12,4,2,0.1252
12,4,3,0.12065918869084204
12,4,4,0.1035
12,4,5,0.0
12,5,1,0.088
12,5,2,0.1015
12,5,3,0.0656499692685925
12,5,4,0.0966
12,5,5,0.011058277120424637
13,1,1,0.1088
13,1,2,0.1027
13,1,3,0.06810848186846957
13,1,4,0.1069
13,1,5,0.4327103837222161
13,2,1,0.1575
13,2,2,0.1007
13,2,3,0.06634142593730794
13,2,4,0.0958
13,2,5,0.005307973017803826
13,3,1,0.0958
13,3,2,0.1
13,3,3,0.07594499078057775
13,3,4,0.1
13,3,5,0.006082052416233551
13,4,1,0.0876
13,4,2,0.1252
13,4,3,0.12065918869084204
13,4,4,0.1035
13,4,5,0.0
13,5,1,0.088
13,5,2,0.1015
13,5,3,0.0656499692685925
13,5,4,0.0966
13,5,5,0.011058277120424637
14,1,1,0.1088
14,1,2,0.1027
